course_code,course_name,description
IMDBSYS32,Information Management and Database Systems,"This course covers database design principles, SQL, and database management systems."
DASTRUCT,Data Structures and Algorithms,"Introduction to data structures, algorithm analysis, and problem-solving techniques."
INTPROG,Introduction to Programming,"Fundamentals of programming concepts, syntax, and problem-solving using Python."
PLATECH,Platform Technologies,"Overview of various computing platforms, operating systems, and infrastructure technologies."
WEBDEVT,Web Development,"Development of web applications using HTML, CSS, JavaScript, and web frameworks."
NETSEC,Network Security,"Principles of network security, cryptography, and secure network design."
SOFTENG,Software Engineering,"Software development lifecycle, project management, and quality assurance."
DATASCI,Data Science,"Introduction to data analysis, machine learning, and statistical techniques."
AIML,Artificial Intelligence and Machine Learning,"Fundamentals of AI, machine learning algorithms, and applications."
CLOUDCOMP,Cloud Computing,"Cloud architectures, services, and deployment models."
DIGIMKT,Digital Marketing,"Online marketing strategies, SEO, and social media marketing."
ENTREP,Entrepreneurship,Starting and managing new business ventures.
IOT,Internet of Things,Design and implementation of IoT systems.
DIGIHUM,Digital Humanities,Application of computational tools to humanities research.
HEALTHIT,Health Information Technology,IT systems in healthcare settings.
DATALAW,Data Privacy Law,Legal aspects of data collection and usage.
